id,title,authors,year,venue,type,doi,url,research_areas,featured
2025-crosstime-a-mobile-application-for-smart,CrossTime: A Mobile Application for Smarter Pedestrian Navigation and Traffic Light Awareness,leonardo-ciabattini|alfonso-esposito|yasmin-moghbelan|mattia-forlesi|ext:Jennifer Bruno|ivan-zyrianoff|lorenzo-gigli|luciano-bononi,2025,International Conference on Mobile Data Management,conference,https://doi.org/10.1109/MDM65600.2025.00054,https://ieeexplore.ieee.org/abstract/document/11058449/,context-awareness,0
2025-decentralized-and-network-aware-uav-serv,Decentralized and Network-Aware UAV Service Deployment for Dependency-Driven Applications,ext:Talip Tolga Sarı|ext:Christian Quadri|ext:Gökhan Seçinti|angelo-trotta,2025,IEEE Wireless Communications and Networking Conference,conference,https://doi.org/10.1109/WCNC61545.2025.10978215,https://ieeexplore.ieee.org/abstract/document/10978215/,autonomous-robotic-iot,0
2025-deepmetaiot-a-multimodal-deep-learning-f,DeepMetaIoT: A Multimodal Deep Learning Framework Harnessing Metadata for IoT Sensor Data Classification,ext:Muhammad Sakib Khan Inan|ext:Kewen Liao|ext:Haifeng Shen|ext:Prem Prakash Jayaraman|federico-montori|ext:Dimitrios Georgakopoulos,2025,IEEE internet of things journal,journal,https://doi.org/10.1109/JIOT.2025.3595556,https://ieeexplore.ieee.org/abstract/document/11112691/,iot-interoperability,0
2025-distributed-serverless-function-scheduli,Distributed serverless function scheduling in ad-hoc drone networks,ext:Giuseppe De Palma|ext:Saverio Giallorenzo|alexandre-heideker|ext:Matteo Trentin|angelo-trotta|ext:Gianluigi Zavattaro,2025,Ad Hoc Networks,journal,https://doi.org/10.1016/j.adhoc.2025.103951,https://www.sciencedirect.com/science/article/pii/S1570870525001994,autonomous-robotic-iot,0
2025-extreme-edge-sensing-as-a-service-bridgi,Extreme edge sensing-as-a-service: Bridging containerization for iot end devices,ext:Davide Berardi|ivan-zyrianoff|federico-montori|marco-di-felice,2025,IEEE Conference on Computer Communications,conference,https://doi.org/10.1109/INFOCOM55648.2025.11044737,https://ieeexplore.ieee.org/abstract/document/11044737/,edge-computing,0
2025-federated-transfer-learning-on-the-edge,Federated Transfer Learning on the Edge: A Vision-Based Motor Rehabilitation System,alfonso-esposito|yasmin-moghbelan|ivan-zyrianoff|luciano-bononi|marco-di-felice,2025,2025 21st International Conference on Distributed Computing in Smart Systems and the Internet of Things (DCOSS-IoT),conference,https://doi.org/10.1109/DCOSS-IoT65416.2025.00086,https://ieeexplore.ieee.org/abstract/document/11096199/,context-awareness,0
2025-from-unsupervised-phenotyping-to-a-clini,From Unsupervised Phenotyping to a Clinician-Ready Classifier: A Complete Pipeline for Assessing 90° Change-of-Direction Technique in Footballers,ext:A Ghibellini|ext:S Di Paolo|ext:S Zaffagnini|luciano-bononi|ext:M Gabbrielli|ext:F Della Villa,2025,FRONTIERS IN ARTIFICIAL INTELLIGENCE AND APPLICATIONS,journal,https://doi.org/10.3233/FAIA251434,https://cris.unibo.it/handle/11585/1038782,iot-interoperability,0
2025-generative-digital-twin-for-predictive-m,Generative Digital Twin for Predictive Modeling in Dynamic IoT Scenarios,leonardo-ciabattini|luca-sciullo|ext:Alberto de Marchi|lorenzo-gigli|luciano-bononi|marco-di-felice,2025,International Conference on Smart Computing,conference,https://doi.org/10.1109/SMARTCOMP65954.2025.00071,https://ieeexplore.ieee.org/abstract/document/11058609/,iot-interoperability|condition-monitoring,0
2025-imu-based-exercise-recognition-and-angle,IMU-Based Exercise Recognition and Angle Estimation via an Edge-Friendly Architecture,alfonso-esposito|ivan-zyrianoff|yasmin-moghbelan|marco-di-felice,2025,"International Conference on e-Health Networking, Applications and Services",conference,https://doi.org/10.1109/HealthCom60686.2025.11342481,https://ieeexplore.ieee.org/abstract/document/11342481/,context-awareness,0
2025-internet-of-things-dataset-for-human-ope,Internet of Things Dataset for Human Operator Activity Recognition in Industrial Environment,ext:Abdur Forkan|ext:Prem Prakash Jayaraman|ext:Clarence Antonmeryl|federico-montori|ext:Abhik Banerjee|ext:Kaneez Fizza|ext:Dimitrios Georgakopoulos,2025,International Conference on Information and Knowledge Management,conference,https://doi.org/10.1145/3746252.3761649,https://dl.acm.org/doi/abs/10.1145/3746252.3761649,context-awareness,0
2025-mobility-aware-orchestration-for-uav-ena,Mobility-Aware Orchestration for UAV-Enabled IoT Networks in Emergency Scenarios,alexandre-heideker|ext:Giovanni Interdonato|ext:Sara Pizzi|ext:Antonella Molinaro|angelo-trotta,2025,IEEE International Conference on Mobile Adhoc and Sensor Systems,conference,https://doi.org/10.1109/MASS66014.2025.00126,https://ieeexplore.ieee.org/abstract/document/11206282/,autonomous-robotic-iot,0
2025-network-slicing-in-aerial-base-station-u,Network slicing in aerial base station (UAV-BS) towards coexistence of heterogeneous 5G services,ext:Debashisha Mishra|ext:Emiliano Traversi|angelo-trotta|ext:Prasanna Raut|ext:Boris Galkin|marco-di-felice|ext:Enrico Natalizio,2025,Computer Networks,journal,https://doi.org/10.1016/j.comnet.2025.111146,https://www.sciencedirect.com/science/article/pii/S1389128625001148,autonomous-robotic-iot,0
2025-physics-based-deep-learning-for-online-a,Physics-Based Deep Learning for Online and Onboard Prediction of Insulation Degradation Under Variable Stress Conditions,ext:P Seri|angelo-trotta|ext:T Schafberger|ext:C Reil|ext:A Cavallini,2025,Conference on Electrical Insulation and Dielectric Phenomena,conference,https://doi.org/10.1109/CEIDP61707.2025.11218381,https://ieeexplore.ieee.org/abstract/document/11218381/,condition-monitoring,0
2025-rain4c-a-multi-layer-framework-integrati,RAIN4C: A Multi-Layer Framework Integrating Satellite and Aerial Networks for Reliable Communications in Emergency Scenarios,alexandre-heideker|ext:Giovanni Interdonato|ext:Sara Pizzi|angelo-trotta,2025,IEEE Communications Standards Magazine,journal,https://doi.org/10.1109/mcomstd.2025.3631271,https://ieeexplore.ieee.org/abstract/document/11262044/,autonomous-robotic-iot,0
2025-rattle-a-framework-for-train-characteriz,Rattle: A framework for train characterization and identification through audio fingerprinting,leonardo-ciabattini|alfonso-esposito|luca-sciullo|ivan-zyrianoff|marco-di-felice,2025,IEEE Access,journal,https://doi.org/10.1109/ACCESS.2025.3641380,https://ieeexplore.ieee.org/abstract/document/11282951/,condition-monitoring|context-awareness,0
2025-scalable-remote-rehabilitation-enabled-b,Scalable Remote Rehabilitation Enabled by IoT and Edge Computing,alfonso-esposito|yasmin-moghbelan|ivan-zyrianoff|luciano-bononi|marco-di-felice,2025,"International Conference on e-Health Networking, Applications and Services",conference,https://doi.org/10.1109/HealthCom60686.2025.11343046,https://ieeexplore.ieee.org/abstract/document/11343046/,context-awareness,0
2025-sdn-enabled-digital-twins-a-framework-fo,SDN-Enabled Digital Twins: A Framework for Wireless SDN Simulation and Optimization,angelo-trotta|ext:Mario Micciché|alexandre-heideker|marco-di-felice,2025,Consumer Communications and Networking Conference,conference,https://doi.org/10.1109/CCNC54725.2025.10976005,https://ieeexplore.ieee.org/abstract/document/10976005/,iot-interoperability,0
2025-simulating-realistic-user-mobility-for-m,Simulating Realistic User Mobility for Mobile Crowdsensing Using TACSim: A Performance Study,ext:Matteo Rontini|ext:Christine Bassem|federico-montori,2025,International Conference on Smart Computing,conference,https://doi.org/10.1109/SMARTCOMP65954.2025.00116,https://ieeexplore.ieee.org/abstract/document/11058661/,context-awareness,0
2025-socialtrustr-blockchain-solution-for-the,SOCIALTRUSTR: Blockchain Solution for the Traceability and Validity of Online Content Dissemination,ext:Manuel Arto|luca-sciullo|lorenzo-gigli|ivan-zyrianoff|ext:Cristiano Aguzzi|federico-montori,2025,International Conference on Blockchain,conference,https://doi.org/10.1109/ICBC64466.2025.11185108,https://ieeexplore.ieee.org/abstract/document/11185108/,blockchain-iot,0
